工藤一彦,1956年5月20日
工藤公康,1963年5月5日
工藤隆人,1981年3月30日
工藤友也,1975年5月1日
国枝利通,1920年6月23日
国貞泰汎,1944年1月1日
国松彰,1934年9月14日
久保俊巳,1950年6月27日
久保康生,1958年4月8日
久保征弘,1940年4月2日
窪田淳,1978年2月20日
久保田治,1934年12月19日
久保田智,1977年5月16日
久保田智之,1981年1月30日
熊澤秀浩,1966年7月30日
熊野輝光,1957年8月28日
久米勇紀,1985年9月10日
倉義和,1975年7月27日
倉田誠,1946年6月3日
倉野信次,1974年9月15日
倉本慎也,1973年9月10日
倉本信護,1913年6月9日
栗岡英智,1961年1月18日
栗木孝幸,1929年10月3日
栗田聡,1964年8月3日
栗山聡,1974年6月15日
黒江透修,1938年12月12日
黒木純司,1974年6月20日
黒木知宏,1973年12月13日
黒沢俊夫,1914年6月10日
黒田一博,1924年9月13日
黒田健吾,1907年10月28日
黒田哲史,1975年1月11日
黒田真治,1958年1月2日
黒田博樹,1975年2月10日
黒田能弘,1940年6月15日
桑田茂,1960年12月20日
桑田武,1937年1月5日
桑田真澄,1968年4月1日
桑野議,1949年5月5日
源五郎丸洋,1964年1月15日
劔持節雄,1953年5月16日
古池拓一,1971年4月19日
小池秀郎,1969年3月18日
小池正晃,1980年5月15日
小石博孝,1987年4月13日
小泉恒美,1942年7月5日
高信二,1967年4月16日
交告弘利,1946年8月20日
香坂英典,1957年10月19日
香田勲男,1965年5月29日
合田栄蔵,1942年6月3日
河内卓司,1920年4月26日
河野旭輝,1935年1月1日
河埜和正,1951年11月7日
鴻野淳基,1961年7月10日
河野博文,1962年4月28日
高村良嘉,1971年2月10日
神山一義,1966年10月7日
古賀英彦,1939年9月3日
古賀正明,1949年4月11日
小久保裕紀,1971年10月8日
小坂敏彦,1947年9月17日
小坂誠,1973年7月2日
小島圭市,1968年7月1日
小島禎二,1927年4月21日
小島利男,1913年10月12日
小島弘務,1967年10月30日
小嶋正宣,1954年6月10日
五島裕二,1976年4月20日
小玉明利,1935年6月10日
児玉利一,1919年2月19日
児玉泰,1935年7月19日
児玉好弘,1946年2月13日
小鶴誠,1922年12月17日
後藤修,1934年4月1日
後藤和昭,1944年5月28日
後藤孝志,1969年5月14日
後藤武敏,1980年6月5日
後藤利幸,1971年5月4日
後藤祝秀,1960年2月6日
後藤光貴,1974年8月27日
後藤光尊,1978年7月27日
小早川幸二,1970年12月1日
小早川毅彦,1961年11月15日
小林昭則,1967年8月5日
小林章良,1923年9月22日
小林敦司,1972年12月8日
小林至,1968年1月30日
小林幹英,1974年1月29日
小林聡,1977年8月21日
小林茂生,1969年9月26日
小林茂太,1916年3月29日
小林繁,1952年11月14日
小林誠二,1958年1月22日
小林経旺,1926年1月1日
小林利蔵,1936年11月6日
小林宏,1970年11月30日
